           h          forward         backward          central         five_pts   second_central        third_odd
------------------------------------------------------------------------------------------------------------------------
0.5000000000   0.57536414E+00   0.81093022E+00   0.69314718E+00   0.65595659E+00  -0.43224730E+00  -0.89257421E+00
0.2000000000  -0.33444941E-01   0.15964371E+01   0.67065997E+00   0.66648674E+00  -0.44424388E+00  -0.62598332E+00
0.1000000000  -0.97980408E+00   0.25704510E+01   0.66765696E+00   0.66665596E+00  -0.44443254E+00  -0.60060067E+00
0.0500000000  -0.28235923E+01   0.44212477E+01   0.66691374E+00   0.66666601E+00  -0.44444371E+00  -0.59457451E+00
0.0100000000  -0.17427403E+02   0.19027309E+02   0.66667654E+00   0.66666667E+00  -0.44444444E+00  -0.59267162E+00
0.0050000000  -0.35661923E+02   0.37261900E+02   0.66666914E+00   0.66666667E+00  -0.44444444E+00  -0.59261235E+00
0.0010000000  -0.18152108E+03   0.18312108E+03   0.66666677E+00   0.66666667E+00  -0.44444444E+00  -0.59259350E+00
0.0005000000  -0.36384287E+03   0.36544287E+03   0.66666669E+00   0.66666667E+00  -0.44444444E+00  -0.59259286E+00
0.0001000000  -0.18224155E+04   0.18240155E+04   0.66666667E+00   0.66666667E+00  -0.44444444E+00  -0.59260929E+00
0.0000500000  -0.36456311E+04   0.36472311E+04   0.66666667E+00   0.66666667E+00  -0.44444443E+00  -0.59374727E+00
0.0000100000  -0.18231356E+05   0.18232956E+05   0.66666667E+00   0.66666667E+00  -0.44444439E+00  -0.55511151E+00
0.0000010000  -0.18232076E+06   0.18232236E+06   0.66666667E+00   0.66666667E+00  -0.44424649E+00   0.11102230E+03
0.0000001000  -0.18232148E+07   0.18232164E+07   0.66666667E+00   0.66666667E+00  -0.45195329E+00  -0.13877788E+06
0.0000000100  -0.18232155E+08   0.18232156E+08   0.66666666E+00   0.66666666E+00   0.00000000E+00   0.27755576E+08
