           x           y
     35.3553     35.3553
     70.7107     70.6126
    106.0660    105.7717
    141.4214    140.8328
    176.7767    175.7957
    212.1320    210.6605
    247.4874    245.4273
    282.8427    280.0959
    318.1980    314.6665
    353.5534    349.1389
    388.9087    383.5132
    424.2641    417.7895
    459.6194    451.9676
    494.9747    486.0477
    530.3301    520.0296
    565.6854    553.9134
    601.0408    587.6992
    636.3961    621.3868
    671.7514    654.9764
    707.1068    688.4678
    742.4621    721.8611
    777.8175    755.1564
    813.1728    788.3535
    848.5281    821.4526
    883.8835    854.4535
    919.2388    887.3563
    954.5941    920.1611
    989.9495    952.8677
   1025.3048    985.4763
   1060.6602   1017.9867
   1096.0155   1050.3990
   1131.3708   1082.7133
   1166.7262   1114.9294
   1202.0815   1147.0475
   1237.4369   1179.0674
   1272.7922   1210.9892
   1308.1475   1242.8130
   1343.5029   1274.5386
   1378.8582   1306.1662
   1414.2136   1337.6956
   1449.5689   1369.1269
   1484.9242   1400.4602
   1520.2796   1431.6953
   1555.6349   1462.8324
   1590.9902   1493.8713
   1626.3456   1524.8121
   1661.7009   1555.6549
   1697.0563   1586.3995
   1732.4116   1617.0461
   1767.7669   1647.5945
   1803.1223   1678.0448
   1838.4776   1708.3971
   1873.8330   1738.6512
   1909.1883   1768.8073
   1944.5436   1798.8652
   1979.8990   1828.8250
   2015.2543   1858.6868
   2050.6097   1888.4504
   2085.9650   1918.1160
   2121.3203   1947.6834
   2156.6757   1977.1527
   2192.0310   2006.5240
   2227.3863   2035.7971
   2262.7417   2064.9722
   2298.0970   2094.0491
   2333.4524   2123.0279
   2368.8077   2151.9087
   2404.1630   2180.6913
   2439.5184   2209.3759
   2474.8737   2237.9623
   2510.2291   2266.4506
   2545.5844   2294.8409
   2580.9397   2323.1330
   2616.2951   2351.3271
   2651.6504   2379.4230
   2687.0057   2407.4208
   2722.3611   2435.3206
   2757.7164   2463.1222
   2793.0718   2490.8258
   2828.4271   2518.4312
   2863.7824   2545.9385
   2899.1378   2573.3478
   2934.4931   2600.6589
   2969.8485   2627.8720
   3005.2038   2654.9869
   3040.5591   2682.0037
   3075.9145   2708.9225
   3111.2698   2735.7431
   3146.6252   2762.4657
   3181.9805   2789.0901
   3217.3358   2815.6164
   3252.6912   2842.0447
   3288.0465   2868.3748
   3323.4018   2894.6069
   3358.7572   2920.7408
   3394.1125   2946.7766
   3429.4679   2972.7144
   3464.8232   2998.5540
   3500.1785   3024.2956
   3535.5339   3049.9390
   3570.8892   3075.4843
   3606.2446   3100.9316
   3641.5999   3126.2807
   3676.9552   3151.5318
   3712.3106   3176.6847
   3747.6659   3201.7395
   3783.0213   3226.6963
   3818.3766   3251.5549
   3853.7319   3276.3155
   3889.0873   3300.9779
   3924.4426   3325.5422
   3959.7979   3350.0085
   3995.1533   3374.3766
   4030.5086   3398.6467
   4065.8640   3422.8186
   4101.2193   3446.8924
   4136.5746   3470.8682
   4171.9300   3494.7458
   4207.2853   3518.5254
   4242.6407   3542.2068
   4277.9960   3565.7901
   4313.3513   3589.2754
   4348.7067   3612.6625
   4384.0620   3635.9516
   4419.4174   3659.1425
   4454.7727   3682.2353
   4490.1280   3705.2301
   4525.4834   3728.1267
   4560.8387   3750.9252
   4596.1940   3773.6257
   4631.5494   3796.2280
   4666.9047   3818.7323
   4702.2601   3841.1384
   4737.6154   3863.4464
   4772.9707   3885.6564
   4808.3261   3907.7682
   4843.6814   3929.7820
   4879.0368   3951.6976
   4914.3921   3973.5151
   4949.7474   3995.2346
   4985.1028   4016.8559
   5020.4581   4038.3792
   5055.8135   4059.8043
   5091.1688   4081.1313
   5126.5241   4102.3603
   5161.8795   4123.4911
   5197.2348   4144.5239
   5232.5901   4165.4585
   5267.9455   4186.2950
   5303.3008   4207.0335
   5338.6562   4227.6738
   5374.0115   4248.2161
   5409.3668   4268.6602
   5444.7222   4289.0062
   5480.0775   4309.2542
   5515.4329   4329.4040
   5550.7882   4349.4557
   5586.1435   4369.4094
   5621.4989   4389.2649
   5656.8542   4409.0224
   5692.2095   4428.6817
   5727.5649   4448.2429
   5762.9202   4467.7061
   5798.2756   4487.0711
   5833.6309   4506.3381
   5868.9862   4525.5069
   5904.3416   4544.5776
   5939.6969   4563.5503
   5975.0523   4582.4248
   6010.4076   4601.2013
   6045.7629   4619.8796
   6081.1183   4638.4598
   6116.4736   4656.9420
   6151.8290   4675.3260
   6187.1843   4693.6120
   6222.5396   4711.7998
   6257.8950   4729.8895
   6293.2503   4747.8812
   6328.6056   4765.7747
   6363.9610   4783.5701
   6399.3163   4801.2675
   6434.6717   4818.8667
   6470.0270   4836.3679
   6505.3823   4853.7709
   6540.7377   4871.0758
   6576.0930   4888.2827
   6611.4484   4905.3914
   6646.8037   4922.4021
   6682.1590   4939.3146
   6717.5144   4956.1290
   6752.8697   4972.8454
   6788.2251   4989.4636
   6823.5804   5005.9838
   6858.9357   5022.4058
   6894.2911   5038.7297
   6929.6464   5054.9556
